Accessing Elements for int type.
N   total time    time per operation   Log(N)
13750        9948         0.723491       -0.466953
13800        10077         0.730217       -0.453602
13850        9997         0.721805       -0.470319
13900        12923         0.929712       -0.105144
13950        10121         0.72552       -0.462913
14000        10732         0.766571       -0.383508
14050        10246         0.729253       -0.455509
14100        10224         0.725106       -0.463735
14150        10241         0.723746       -0.466445
14200        10245         0.721479       -0.470971
14250        10283         0.721614       -0.470701
14300        10942         0.765175       -0.386139
14350        11494         0.800976       -0.32017
14400        11614         0.806528       -0.310204
14450        10468         0.724429       -0.465084
14500        10465         0.721724       -0.470481
14550        11137         0.76543       -0.385658
14600        10573         0.724178       -0.465584
14650        10573         0.721706       -0.470516
14700        10638         0.723673       -0.466589
14750        10644         0.721627       -0.470675
14800        10706         0.723378       -0.467178
14850        10735         0.722896       -0.468141
14900        12507         0.839396       -0.252577
14950        10802         0.722542       -0.468847
15000        11440         0.762667       -0.390875
15050        11048         0.734086       -0.445978
15100        10944         0.724768       -0.464408
15150        10973         0.72429       -0.46536
15200        10993         0.723224       -0.467486
15250        11000         0.721311       -0.471306
15300        11066         0.723268       -0.467398
15350        11085         0.72215       -0.46963
15400        11131         0.722792       -0.468347
15450        11167         0.722783       -0.468365
15500        11817         0.762387       -0.391404
15550        11276         0.725145       -0.463659
15600        11278         0.722949       -0.468035
15650        11302         0.722173       -0.469585
15700        11348         0.722803       -0.468327
15750        11465         0.727937       -0.458115
15800        11403         0.721709       -0.470511
15850        13075         0.824921       -0.277672
15900        11479         0.72195       -0.47003
15950        11510         0.72163       -0.470669
16000        12221         0.763813       -0.38871
16050        11681         0.727788       -0.45841
16100        11639         0.722919       -0.468094
16150        11674         0.722848       -0.468235
16200        11714         0.723086       -0.46776
16250        11731         0.721908       -0.470114
16300        11855         0.727301       -0.459376
16350        11864         0.725627       -0.4627
16400        12433         0.75811       -0.399521
16450        11894         0.72304       -0.467854
16500        11928         0.722909       -0.468114
16550        12368         0.747311       -0.420219
16600        12257         0.738373       -0.437577
16650        12119         0.727868       -0.458252
16700        12098         0.724431       -0.46508
16750        12079         0.721134       -0.47166
16800        13789         0.820774       -0.284943
16850        12852         0.76273       -0.390756
16900        12225         0.723373       -0.467189
16950        12299         0.725605       -0.462744
17000        12419         0.730529       -0.452986
17050        12333         0.723343       -0.467248
17100        12342         0.721754       -0.47042
17150        12396         0.722799       -0.468334
17200        12406         0.721279       -0.471371
17250        12440         0.721159       -0.47161
17300        13086         0.756416       -0.402748
17350        12729         0.73366       -0.446817
17400        12578         0.722874       -0.468185
17450        12588         0.721375       -0.471178
17500        12651         0.722914       -0.468103
